[2026-04-22 14:54:28.812] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.833] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.854] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.875] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.896] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.918] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.942] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.963] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.984] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.005] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.027] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.048] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.069] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.091] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.112] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.133] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.154] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.175] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.196] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.217] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.239] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.263] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.284] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.305] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:29.326] PUBLISH -> linear.x=-0.25, angular.z=0.50
