[2026-04-24 11:19:05.721] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:05.742] PUBLISH -> linear.x=0.21, angular.z=0.00
[2026-04-24 11:19:05.762] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:19:05.783] PUBLISH -> linear.x=0.15, angular.z=0.00
[2026-04-24 11:19:05.804] PUBLISH -> linear.x=0.12, angular.z=0.00
[2026-04-24 11:19:05.825] PUBLISH -> linear.x=0.09, angular.z=0.00
[2026-04-24 11:19:05.846] PUBLISH -> linear.x=0.06, angular.z=0.00
[2026-04-24 11:19:05.867] PUBLISH -> linear.x=0.12, angular.z=0.00
[2026-04-24 11:19:05.888] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:19:05.909] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:05.930] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:05.951] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:05.972] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:05.993] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:19:06.014] PUBLISH -> linear.x=0.54, angular.z=0.00
[2026-04-24 11:19:06.035] PUBLISH -> linear.x=0.60, angular.z=0.00
[2026-04-24 11:19:06.056] PUBLISH -> linear.x=0.57, angular.z=0.00
[2026-04-24 11:19:06.076] PUBLISH -> linear.x=0.54, angular.z=0.00
[2026-04-24 11:19:06.097] PUBLISH -> linear.x=0.51, angular.z=0.00
[2026-04-24 11:19:06.118] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:19:06.139] PUBLISH -> linear.x=0.45, angular.z=0.00
[2026-04-24 11:19:06.160] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:06.181] PUBLISH -> linear.x=0.39, angular.z=0.00
[2026-04-24 11:19:06.201] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:06.222] PUBLISH -> linear.x=0.33, angular.z=0.00
[2026-04-24 11:19:06.243] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:06.264] PUBLISH -> linear.x=0.27, angular.z=0.00
[2026-04-24 11:19:06.285] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:06.306] PUBLISH -> linear.x=0.21, angular.z=0.00
[2026-04-24 11:19:06.327] PUBLISH -> linear.x=0.27, angular.z=0.00
[2026-04-24 11:19:06.348] PUBLISH -> linear.x=0.33, angular.z=0.00
[2026-04-24 11:19:06.369] PUBLISH -> linear.x=0.39, angular.z=0.00
[2026-04-24 11:19:06.390] PUBLISH -> linear.x=0.45, angular.z=0.00
[2026-04-24 11:19:06.411] PUBLISH -> linear.x=0.51, angular.z=0.00
[2026-04-24 11:19:06.432] PUBLISH -> linear.x=0.57, angular.z=0.00
[2026-04-24 11:19:06.453] PUBLISH -> linear.x=0.60, angular.z=0.00
[2026-04-24 11:19:06.474] PUBLISH -> linear.x=0.60, angular.z=0.00
