[2026-04-25 14:16:33.718] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.739] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.761] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.783] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.804] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.826] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.847] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.868] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.889] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.911] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.934] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.956] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.978] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.999] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.021] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.042] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.064] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.086] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.108] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.131] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.152] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.173] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.196] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.217] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.239] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.261] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.283] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.305] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.326] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.347] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.369] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.391] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.412] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.435] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.457] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.478] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.500] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.522] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.542] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.563] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.584] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.605] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.626] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:34.647] KEY PRESS: RIGHT
[2026-04-25 14:16:34.647] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.668] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.689] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.710] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.730] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.751] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.772] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.793] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.814] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.836] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.857] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.878] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.900] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.922] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.944] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.966] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:34.987] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.009] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.030] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.053] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.075] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.096] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.118] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.139] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.161] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.183] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.204] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.226] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.247] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.269] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.290] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.312] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.334] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.355] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.375] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.396] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.418] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.442] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.464] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.485] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.507] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.528] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.549] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.570] PUBLISH -> linear.x=-0.15, angular.z=-0.50
[2026-04-25 14:16:35.592] PUBLISH -> linear.x=-0.15, angular.z=-0.50
